directory	srr_id	in_sample_list	in_sra_dir
Controls/Gallbladder	SRR32560247	1	0
Controls/Gallbladder	SRR5742688	1	0
Controls/Gallbladder	SRR5742690	1	0
Controls/Gallbladder	SRR5742692	1	0
Controls/Gallbladder	SRR5742694	1	0
Controls/Gallbladder	SRR9203715	1	0
Controls/Gallbladder	SRR9203718	1	0
Controls/Gallbladder	SRR9203721	1	0
Controls/Gum+MouthOther	ERR649019	1	1
Controls/Gum+MouthOther	ERR649022	1	1
Controls/Gum+MouthOther	ERR649026	1	1
Controls/Gum+MouthOther	ERR649029	1	1
Controls/Gum+MouthOther	ERR649030	1	1
Controls/Gum+MouthOther	ERR649034	1	0
Controls/Gum+MouthOther	ERR649035	1	1
Controls/Gum+MouthOther	ERR649038	1	1
Controls/Gum+MouthOther	ERR649043	1	1
Controls/Gum+MouthOther	ERR649046	1	1
Controls/Gum+MouthOther	ERR649049	1	1
Controls/Gum+MouthOther	ERR649052	1	1
Controls/Gum+MouthOther	ERR649053	1	1
Controls/Gum+MouthOther	ERR649058	1	1
Controls/Gum+MouthOther	ERR649059	1	1
Controls/Gum+MouthOther	ERR649062	1	1
Controls/Gum+MouthOther	ERR649066	1	1
Controls/Gum+MouthOther	ERR649069	1	1
Controls/Gum+MouthOther	ERR649072	1	1
Controls/Gum+MouthOther	SRR10502316	0	1
Controls/Gum+MouthOther	SRR10502317	0	1
Controls/Gum+MouthOther	SRR10502318	1	1
Controls/Gum+MouthOther	SRR16013047	0	1
Controls/Gum+MouthOther	SRR16013049	0	1
Controls/Gum+MouthOther	SRR16013051	1	1
Controls/Gum+MouthOther	SRR16013053	0	1
Controls/Gum+MouthOther	SRR16013055	0	1
Controls/Gum+MouthOther	SRR16013057	0	1
Controls/Gum+MouthOther	SRR16013058	0	1
Controls/Gum+MouthOther	SRR16013060	1	1
Controls/Gum+MouthOther	SRR16013062	0	1
Controls/Gum+MouthOther	SRR16013063	0	1
Controls/Gum+MouthOther	SRR16013066	0	1
Controls/Gum+MouthOther	SRR16013069	0	1
Controls/Gum+MouthOther	SRR16013071	0	1
Controls/Gum+MouthOther	SRR16013075	0	1
Controls/Gum+MouthOther	SRR16013076	0	1
Controls/Gum+MouthOther	SRR16013077	0	1
Controls/Gum+MouthOther	SRR16013081	0	1
Controls/Gum+MouthOther	SRR16013085	0	1
Controls/Gum+MouthOther	SRR16013086	0	1
Controls/Gum+MouthOther	SRR16013087	0	1
Controls/Gum+MouthOther	SRR16013089	0	1
Controls/Gum+MouthOther	SRR16612817	1	1
Controls/Gum+MouthOther	SRR16612819	1	1
Controls/Gum+MouthOther	SRR16612821	1	1
Controls/Gum+MouthOther	SRR16612823	1	1
Controls/Gum+MouthOther	SRR16612825	1	1
