directory	srr_id
Tumors/Oropharyngeal	SRR21973980
Tumors/Oropharyngeal	SRR21973981
Tumors/Oropharyngeal	SRR21973982
Tumors/Oropharyngeal	SRR21973983
Tumors/Oropharyngeal	SRR21973984
Tumors/Oropharyngeal	SRR21973985
Tumors/Oropharyngeal	SRR21973986
Tumors/Oropharyngeal	SRR21973987
Tumors/Oropharyngeal	SRR21973988
Tumors/Oropharyngeal	SRR21973989
Tumors/Oropharyngeal	SRR21973990
Tumors/Oropharyngeal	SRR21973991
Tumors/Oropharyngeal	SRR21973992
Tumors/Oropharyngeal	SRR21973993
Tumors/Oropharyngeal	SRR21973994
Tumors/Oropharyngeal	SRR21973995
Tumors/Oropharyngeal	SRR21973996
Tumors/Oropharyngeal	SRR21973997
Tumors/Oropharyngeal	SRR21973998
Tumors/Oropharyngeal	SRR21973999
Tumors/Oropharyngeal	SRR21974000
Tumors/Oropharyngeal	SRR21974001
Tumors/Oropharyngeal	SRR21974002
Tumors/Oropharyngeal	SRR21974003
Tumors/Oropharyngeal	SRR21974004
Tumors/Oropharyngeal	SRR21974005
Tumors/Oropharyngeal	SRR21974006
Tumors/Oropharyngeal	SRR21974007
Tumors/Oropharyngeal	SRR21974008
Tumors/Oropharyngeal	SRR21974009
Tumors/Oropharyngeal	SRR21974010
Tumors/Oropharyngeal	SRR21974011
Tumors/Oropharyngeal	SRR21974012
Tumors/Oropharyngeal	SRR21974013
Tumors/Oropharyngeal	SRR21974014
Tumors/Oropharyngeal	SRR21974015
Tumors/Oropharyngeal	SRR21974016
Tumors/Oropharyngeal	SRR25116202
Tumors/Oropharyngeal	SRR25116203
Tumors/Oropharyngeal	SRR25116204
Tumors/Oropharyngeal	SRR25116205
Tumors/Oropharyngeal	SRR25116206
Tumors/Oropharyngeal	SRR25116207
Tumors/Oropharyngeal	SRR25116208
Tumors/Oropharyngeal	SRR25116209
Tumors/Oropharyngeal	SRR25116210
Tumors/Oropharyngeal	SRR25116211
Tumors/Oropharyngeal	SRR25116212
Tumors/Oropharyngeal	SRR25116213
Tumors/Oropharyngeal	SRR25116214
Tumors/Oropharyngeal	SRR25116215
Tumors/Oropharyngeal	SRR25116216
Tumors/Oropharyngeal	SRR25116217
Tumors/Oropharyngeal	SRR25116218
Tumors/Oropharyngeal	SRR25116219
Tumors/Oropharyngeal	SRR25116220
Tumors/Oropharyngeal	SRR25116221
Tumors/Oropharyngeal	SRR25116222
Tumors/Oropharyngeal	SRR25116223
Tumors/Oropharyngeal	SRR25116224
Tumors/Oropharyngeal	SRR25116225
Tumors/Oropharyngeal	SRR25116226
Tumors/Oropharyngeal	SRR25116227
Tumors/Oropharyngeal	SRR25116228
Tumors/Oropharyngeal	SRR25116229
Tumors/Oropharyngeal	SRR25116230
Tumors/Oropharyngeal	SRR25116231
Tumors/Oropharyngeal	SRR25116232
Tumors/Oropharyngeal	SRR25116233
Tumors/Oropharyngeal	SRR25116234
Tumors/Oropharyngeal	SRR25116235
Tumors/Oropharyngeal	SRR25116236
Tumors/Oropharyngeal	SRR25116237
Tumors/Oropharyngeal	SRR25116238
Tumors/Oropharyngeal	SRR25116239
Tumors/Oropharyngeal	SRR25116240
Tumors/Oropharyngeal	SRR25116241
Tumors/Oropharyngeal	SRR25116242
Tumors/Oropharyngeal	SRR25116243
Tumors/Oropharyngeal	SRR25116244
Tumors/Oropharyngeal	SRR25116245
Tumors/Oropharyngeal	SRR25116246
Tumors/Oropharyngeal	SRR25116247
Tumors/Oropharyngeal	SRR25116248
Tumors/Oropharyngeal	SRR25116249
Tumors/Oropharyngeal	SRR25116250
Tumors/Oropharyngeal	SRR25116251
Tumors/Oropharyngeal	SRR25116252
Tumors/Oropharyngeal	SRR25116253
Tumors/Oropharyngeal	SRR25116254
Tumors/Oropharyngeal	SRR25116255
Tumors/Oropharyngeal	SRR25116256
Tumors/Oropharyngeal	SRR25116257
Tumors/Oropharyngeal	SRR25116258
Tumors/Oropharyngeal	SRR25116259
Tumors/Oropharyngeal	SRR25116260
Tumors/Oropharyngeal	SRR25116261
Tumors/Oropharyngeal	SRR25116262
Tumors/Oropharyngeal	SRR25116263
Tumors/Oropharyngeal	SRR25116264
Tumors/Oropharyngeal	SRR25116265
Tumors/Oropharyngeal	SRR25116266
Tumors/Oropharyngeal	SRR25116267
Tumors/Oropharyngeal	SRR25116268
Tumors/Oropharyngeal	SRR25116269
Tumors/Oropharyngeal	SRR25116270
Tumors/Oropharyngeal	SRR25116271
Tumors/Oropharyngeal	SRR25116272
Tumors/Oropharyngeal	SRR8762095
Tumors/Oropharyngeal	SRR8762131
Tumors/Oropharyngeal	SRR8762814
Tumors/Oropharyngeal	SRR8762820
Tumors/Oropharyngeal	SRR8764238
Tumors/Oropharyngeal	SRR9304325
Tumors/Pancreas	SRR21201291
Tumors/Pancreas	SRR21201388
Tumors/Pancreas	SRR21833004
Tumors/Pancreas	SRR21833006
Tumors/Pancreas	SRR21833013
Tumors/Pancreas	SRR21833014
Tumors/Pancreas	SRR21833016
Tumors/Pancreas	SRR21833017
Tumors/Pancreas	SRR21833019
Tumors/Pancreas	SRR21833020
Tumors/Pancreas	SRR21833021
Tumors/RenalPelvis	SRR24048108
Tumors/RenalPelvis	SRR24048109
Tumors/RenalPelvis	SRR24048118
Tumors/RenalPelvis	SRR24048125
Tumors/RenalPelvis	SRR24048143
Tumors/RenalPelvis	SRR24048922
Tumors/RenalPelvis	SRR32686225
Tumors/RenalPelvis	SRR32686228
Tumors/RenalPelvis	SRR8762523
Tumors/RenalPelvis	SRR8762607
Tumors/RenalPelvis	SRR8763049
Tumors/Salivary	SRR587175
Tumors/Salivary	SRR587176
Tumors/Salivary	SRR587177
Tumors/Salivary	SRR587178
Tumors/Salivary	SRR8762170
Tumors/Salivary	SRR8764040
Tumors/Salivary	SRR8764067
Tumors/Salivary	SRR9304319
Tumors/Salivary	SRR9304406
Tumors/SmallCellLung	SRR13780246
Tumors/SmallCellLung	SRR13780247
Tumors/SmallCellLung	SRR13780248
Tumors/SmallCellLung	SRR13780249
Tumors/SmallCellLung	SRR13780250
Tumors/SmallCellLung	SRR13780251
Tumors/SmallCellLung	SRR13780252
Tumors/SmallCellLung	SRR13780253
Tumors/SmallCellLung	SRR13780254
Tumors/SmallCellLung	SRR13780255
Tumors/SmallCellLung	SRR13780256
Tumors/SmallCellLung	SRR13780257
Tumors/SmallCellLung	SRR13780258
Tumors/SmallCellLung	SRR13780259
Tumors/SmallCellLung	SRR13780260
Tumors/SmallCellLung	SRR13780261
Tumors/SmallCellLung	SRR13780262
Tumors/SmallCellLung	SRR13780263
Tumors/SmallCellLung	SRR13780264
Tumors/SmallCellLung	SRR13780265
Tumors/SmallCellLung	SRR13780266
Tumors/SmallCellLung	SRR13780267
Tumors/SmallCellLung	SRR13780268
Tumors/SmallCellLung	SRR13780269
Tumors/SmallCellLung	SRR13780270
Tumors/SmallCellLung	SRR13780271
Tumors/SmallCellLung	SRR13780272
Tumors/SmallCellLung	SRR13780273
Tumors/SmallCellLung	SRR13780274
Tumors/SmallCellLung	SRR13780291
Tumors/SmallCellLung	SRR30228494
Tumors/SmallCellLung	SRR30228496
Tumors/SmallCellLung	SRR30228498
Tumors/SmallCellLung	SRR30228500
Tumors/SmallCellLung	SRR30228501
Tumors/SmallCellLung	SRR30228503
Tumors/SmallCellLung	SRR30228538
Tumors/SmallCellLung	SRR30544481
Tumors/SmallCellLung	SRR30544484
Tumors/SmallCellLung	SRR30544487
Tumors/SmallCellLung	SRR30544490
Tumors/SmallCellLung	SRR30544493
Tumors/SmallCellLung	SRR30544496
Tumors/SmallCellLung	SRR30544499
Tumors/SmallCellLung	SRR30544502
Tumors/SmallCellLung	SRR30544504
Tumors/SmallCellLung	SRR30544507
Tumors/SmallCellLung	SRR30544509
Tumors/SmallCellLung	SRR30544513
Tumors/SmallCellLung	SRR30544515
Tumors/SmallCellLung	SRR30544518
Tumors/SmallCellLung	SRR30544520
Tumors/SmallCellLung	SRR30544523
Tumors/SmallCellLung	SRR30544526
Tumors/SmallCellLung	SRR30544528
Tumors/SmallCellLung	SRR30544533
Tumors/SmallCellLung	SRR30544535
Tumors/SmallCellLung	SRR30544538
Tumors/SmallCellLung	SRR30544543
Tumors/SmallCellLung	SRR30544546
Tumors/SmallCellLung	SRR30544583
Tumors/SmallCellLung	SRR30544585
Tumors/SmallCellLung	SRR8762341
