sample_id,in_bam_dir,in_sample_list,mismatch
SAMN35984850,False,True,True
SAMN35984851,False,True,True
SAMN35984852,False,True,True
SAMN35984853,False,True,True
SAMN35984854,False,True,True
SAMN35984855,False,True,True
SAMN35984856,False,True,True
SAMN35984857,False,True,True
SAMN35984858,False,True,True
SAMN35984859,False,True,True
SAMN35984860,False,True,True
SAMN35984861,False,True,True
SAMN35984862,False,True,True
SAMN35984863,False,True,True
SAMN35984864,False,True,True
SAMN35984865,False,True,True
SAMN35984866,False,True,True
