Run	SRA_Experiment	BioSample	geo_accession	title	sample_id	tissue	who_grade	recurrence_status	top_label	origin	sample_type
SRR27388701	SRX23064773	SAMN39203570	GSM7998813	MNG170		brain			Tumor	brain and CNS	meningioma
SRR27388700	SRX23064774	SAMN39203569	GSM7998814	MNG171		brain			Tumor	brain and CNS	meningioma
SRR27388699	SRX23064775	SAMN39203568	GSM7998815	MNG172		brain			Tumor	brain and CNS	meningioma
SRR27388698	SRX23064776	SAMN39203567	GSM7998816	MNG173		brain			Tumor	brain and CNS	meningioma
SRR27388697	SRX23064777	SAMN39203566	GSM7998817	MNG174		brain			Tumor	brain and CNS	meningioma
SRR27388696	SRX23064778	SAMN39203565	GSM7998818	MNG175		brain			Tumor	brain and CNS	meningioma
SRR27388695	SRX23064779	SAMN39203564	GSM7998819	MNG176		brain			Tumor	brain and CNS	meningioma
SRR27388694	SRX23064780	SAMN39203563	GSM7998820	MNG177		brain			Tumor	brain and CNS	meningioma
SRR27388693	SRX23064781	SAMN39203562	GSM7998821	MNG178		brain			Tumor	brain and CNS	meningioma
SRR27388692	SRX23064782	SAMN39203561	GSM7998822	MNG179		brain			Tumor	brain and CNS	meningioma
SRR27388691	SRX23064783	SAMN39203560	GSM7998823	MNG180		brain			Tumor	brain and CNS	meningioma
SRR27388690	SRX23064784	SAMN39203559	GSM7998824	MNG181		brain			Tumor	brain and CNS	meningioma
SRR27388689	SRX23064785	SAMN39203558	GSM7998825	MNG182		brain			Tumor	brain and CNS	meningioma
SRR27388688	SRX23064786	SAMN39203557	GSM7998826	MNG183		brain			Tumor	brain and CNS	meningioma
SRR27388687	SRX23064787	SAMN39203556	GSM7998827	MNG184		brain			Tumor	brain and CNS	meningioma
SRR27388686	SRX23064788	SAMN39203555	GSM7998828	MNG185		brain			Tumor	brain and CNS	meningioma
SRR27388685	SRX23064789	SAMN39203554	GSM7998829	MNG186		brain			Tumor	brain and CNS	meningioma
SRR27388684	SRX23064790	SAMN39203553	GSM7998830	MNG187		brain			Tumor	brain and CNS	meningioma
SRR27388619	SRX23064855	SAMN39203552	GSM7998831	MNG188		brain			Tumor	brain and CNS	meningioma
SRR27388618	SRX23064856	SAMN39203551	GSM7998832	MNG189		brain			Tumor	brain and CNS	meningioma
SRR27388617	SRX23064857	SAMN39203550	GSM7998833	MNG190		brain			Tumor	brain and CNS	meningioma
SRR27388616	SRX23064858	SAMN39203549	GSM7998834	MNG191		brain			Tumor	brain and CNS	meningioma
SRR27388615	SRX23064859	SAMN39203548	GSM7998835	MNG192		brain			Tumor	brain and CNS	meningioma
SRR27388614	SRX23064860	SAMN39203547	GSM7998836	MNG193		brain			Tumor	brain and CNS	meningioma
SRR27388613	SRX23064861	SAMN39203546	GSM7998837	MNG194		brain			Tumor	brain and CNS	meningioma
SRR27388612	SRX23064862	SAMN39203545	GSM7998838	MNG195		brain			Tumor	brain and CNS	meningioma
