srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
SRR20340231,1,1,0,1
SRR20340232,1,1,0,1
SRR20340233,1,1,0,1
SRR20340234,1,1,0,1
SRR20340235,1,1,0,1
SRR20340236,1,1,0,1
SRR20340237,1,1,0,1
SRR20340238,1,1,0,1
SRR20340239,1,1,0,1
SRR20340240,1,1,0,1
SRR20340241,1,1,0,1
SRR20340242,1,1,0,1
SRR20340243,1,1,0,1
SRR20340244,1,1,0,1
SRR20340245,1,1,0,1
SRR20340246,1,1,0,1
SRR20340247,1,1,0,1
SRR20340248,1,1,0,1
SRR20340249,1,1,0,1
SRR20340250,1,1,0,1
SRR20340251,1,1,0,1
SRR20340252,1,1,0,1
SRR20340253,1,1,0,1
SRR20340254,1,1,0,1
SRR20340255,1,1,0,1
SRR20340256,1,1,0,1
SRR20340257,1,1,0,1
SRR20340258,1,1,0,1
SRR20340259,1,1,0,1
SRR20340260,1,1,0,1
SRR20340261,1,1,0,1
SRR20340262,1,1,0,1
SRR20340263,1,1,0,1
SRR20340264,1,1,1,1
SRR20340265,1,1,0,1
SRR20340266,1,1,0,1
SRR20340267,1,1,0,1
SRR20340268,1,1,0,1
SRR20340269,1,1,0,1
SRR21201291,1,1,1,1
SRR21201388,1,1,1,1
SRR21833004,1,1,1,1
SRR21833006,1,1,1,1
SRR21833013,1,1,1,1
SRR21833014,1,1,1,1
SRR21833016,1,1,1,1
SRR21833017,1,1,1,1
SRR21833019,1,1,1,1
SRR21833020,1,1,1,1
SRR21833021,1,1,1,1
SRR23343827,1,1,0,1
SRR23343828,1,1,0,1
SRR23343829,1,1,1,1
SRR23343830,1,1,0,1
SRR23343831,1,1,0,1
SRR23343832,1,1,0,1
SRR23343833,1,1,0,1
SRR23343834,1,1,0,1
SRR23343835,1,1,0,1
SRR23343836,1,1,0,1
SRR23343837,1,1,0,1
SRR23343838,1,1,0,1
SRR23343839,1,1,0,1
SRR23343840,1,1,0,1
SRR23343841,1,1,0,1
SRR23343842,1,1,0,1
SRR23343843,1,1,0,1
SRR23343844,1,1,0,1
SRR23343845,1,1,0,1
SRR23343846,1,1,0,1
SRR23343847,1,1,0,1
SRR23343848,1,1,0,1
SRR23343849,1,1,0,1
SRR23343850,1,1,0,1
SRR23343851,1,1,0,1
SRR23343852,1,1,0,1
SRR23343853,1,1,0,1
SRR23343854,1,1,0,1
SRR23343855,1,1,0,1
SRR23343856,1,1,0,1
SRR23343857,1,1,0,1
SRR23343858,1,1,0,1
SRR23343859,1,1,0,1
SRR23343860,1,1,0,1
SRR23343861,1,1,0,1
SRR23343862,1,1,0,1
SRR23343863,1,1,0,1
SRR23343864,1,1,0,1
SRR23343865,1,1,0,1
SRR23343866,1,1,0,1
SRR23343867,1,1,0,1
SRR23343868,1,1,0,1
SRR23343869,1,1,0,1
SRR23343870,1,1,0,1
SRR23343871,1,1,0,1
SRR23343872,1,1,0,1
SRR23343873,1,1,0,1
SRR23343874,1,1,0,1
SRR23343875,1,1,0,1
SRR23343876,1,1,0,1
SRR23343877,1,1,0,1
SRR23343878,1,1,0,1
SRR23343879,1,1,0,1
SRR23343880,1,1,0,1
SRR23343881,1,1,0,1
SRR23343882,1,1,0,1
SRR23343883,1,1,0,1
SRR23343884,1,1,0,1
SRR23343885,1,1,0,1
SRR23343886,1,1,0,1
SRR23343887,1,1,0,1
SRR23343888,1,1,0,1
SRR23343889,1,1,0,1
SRR23343890,1,1,0,1
SRR23343891,1,1,0,1
SRR23343892,1,1,0,1
SRR23343893,1,1,0,1
SRR23343894,1,1,0,1
SRR23343895,1,1,0,1
SRR23343896,1,1,0,1
SRR23343897,1,1,0,1
SRR23343898,1,1,0,1
SRR23343899,1,1,0,1
SRR23343900,1,1,0,1
SRR23343901,1,1,0,1
SRR23343902,1,1,0,1
SRR23343903,1,1,0,1
SRR23343904,1,1,0,1
SRR23343905,1,1,0,1
SRR23343906,1,1,0,1
