srr_id,in_sample_list,in_any_reference
SRR12720156,1,0
SRR12720160,1,0
SRR12720161,1,0
SRR17839289,1,0
SRR17839290,1,0
SRR17839291,1,0
SRR17839292,1,0
SRR17839293,1,0
SRR17839294,1,0
SRR17839295,1,0
SRR17839296,1,0
SRR17839297,1,0
SRR17839298,1,0
SRR17839299,1,0
SRR17839300,1,0
SRR17839301,1,0
SRR17839302,1,0
SRR17839303,1,0
SRR17839304,1,0
