srr_id,in_sample_list,in_any_reference
SRR15964342,1,0
SRR15964343,1,0
SRR15964344,1,0
SRR15964345,1,0
SRR15964346,1,0
SRR15964347,1,0
SRR15964348,1,0
SRR15964349,1,0
SRR15964350,1,0
SRR15964351,1,0
SRR15964352,1,0
SRR15964353,1,0
SRR16987689,1,0
SRR16987690,1,0
