SAMN32680888	SRR23053181_1.fastq.gz	SRR23053181_2.fastq.gz
SAMN32680891	SRR23053184_1.fastq.gz	SRR23053184_2.fastq.gz
SAMN32680892	SRR23053185_1.fastq.gz	SRR23053185_2.fastq.gz
SAMN32680893	SRR23053186_1.fastq.gz	SRR23053186_2.fastq.gz
SAMN32680894	SRR23053187_1.fastq.gz	SRR23053187_2.fastq.gz
SAMN32680895	SRR23053188_1.fastq.gz	SRR23053188_2.fastq.gz
SAMN32680831	SRR23053106_1.fastq.gz	SRR23053106_2.fastq.gz
SAMN32680832	SRR23053107_1.fastq.gz	SRR23053107_2.fastq.gz
SAMN32680833	SRR23053108_1.fastq.gz	SRR23053108_2.fastq.gz
SAMN32680834	SRR23053109_1.fastq.gz	SRR23053109_2.fastq.gz
SAMN32680838	SRR23053113_1.fastq.gz	SRR23053113_2.fastq.gz
SAMN32680848	SRR23053123_1.fastq.gz	SRR23053123_2.fastq.gz
SAMN32680849	SRR23053142_1.fastq.gz	SRR23053142_2.fastq.gz
SAMN32680850	SRR23053143_1.fastq.gz	SRR23053143_2.fastq.gz
SAMN32680855	SRR23053148_1.fastq.gz	SRR23053148_2.fastq.gz
SAMN32680856	SRR23053149_1.fastq.gz	SRR23053149_2.fastq.gz
SAMN32680862	SRR23053155_1.fastq.gz	SRR23053155_2.fastq.gz
SAMN32680870	SRR23053163_1.fastq.gz	SRR23053163_2.fastq.gz
SAMN32680876	SRR23053169_1.fastq.gz	SRR23053169_2.fastq.gz
SAMN32680881	SRR23053174_1.fastq.gz	SRR23053174_2.fastq.gz
SAMN32680889	SRR23053182_1.fastq.gz	SRR23053182_2.fastq.gz
SAMN32680890	SRR23053183_1.fastq.gz	SRR23053183_2.fastq.gz
SAMN32680896	SRR23053189_1.fastq.gz	SRR23053189_2.fastq.gz
